"","city","lat","lng","country"
"134","Weinan",34.4996,109.4684,"China"
"135","Changzhou",31.8122,119.9692,"China"
"136","Singapore",1.3,103.8,"Singapore"
"137","Fuzhou",26.0769,119.2917,"China"
"138","Pudong",31.2231,121.5397,"China"
"139","Belo Horizonte",-19.9281,-43.9419,"Brazil"
"140","Zhangzhou",24.5093,117.6612,"China"
"141","Yuncheng",35.0304,110.998,"China"
"142","Suzhou",31.304,120.6164,"China"
"143","Xianyang",34.35,108.7167,"China"
"144","Guilin",25.2667,110.2833,"China"
"145","Taizhou",32.4831,119.9,"China"
"146","Abidjan",5.3364,-4.0267,"Côte d'Ivoire"
"147","Huaihua",27.5494,109.9592,"China"
"148","Ji’an",27.1172,114.9793,"China"
"149","Xiaoganzhan",30.9273,113.911,"China"
"150","Pingdingshan",33.735,113.2999,"China"
"151","Jiujiang",29.7048,116.0021,"China"
"152","Sūrat",21.17,72.83,"India"
"153","Guiyang",26.5794,106.7078,"China"
"154","Alexandria",31.2,29.9167,"Egypt"
"155","Bozhou",33.8626,115.7742,"China"
"156","Sydney",-33.865,151.2094,"Australia"
"157","Huizhou",23.1115,114.4152,"China"
"158","Huai’an",33.5,119.1331,"China"
"159","Chenzhou",25.7989,113.0267,"China"
"160","Barcelona",41.3825,2.1769,"Spain"
"161","Anqing",30.5,117.0333,"China"
"162","Suqian",33.9331,118.2831,"China"
"163","Boston",42.3188,-71.0846,"United States"
"164","Jiangmen",22.5833,113.0833,"China"
"165","Mianyang",31.4669,104.7385,"China"
"166","Harbin",45.75,126.6333,"China"
"167","Huanglongsi",34.7936,114.3403,"China"
"168","Melbourne",-37.8136,144.9631,"Australia"
"169","Zibo",36.7831,118.0497,"China"
"170","Dalian",38.9,121.6,"China"
"171","Hengshui",37.7348,115.686,"China"
"172","Yibin",28.7596,104.64,"China"
"173","Yangzhou",32.3912,119.4363,"China"
"174","Timbío",2.3528,-76.6819,"Colombia"
"175","Johannesburg",-26.2044,28.0416,"South Africa"
"176","Yiyang",28.5833,112.3333,"China"
"177","Guigang",23.0961,109.6092,"China"
"178","Xinpu",34.5906,119.1801,"China"
"179","Meizhou",24.2998,116.1191,"China"
"180","Casablanca",33.5992,-7.62,"Morocco"
"181","Langfang",39.5196,116.7006,"China"
"182","Zhangjiakou",40.8108,114.8811,"China"
"183","Chifeng",42.2663,118.9223,"China"
"184","Linfen",36.0812,111.5087,"China"
"185","Jiangguanchi",34.0244,113.8201,"China"
"186","Kabul",34.5328,69.1658,"Afghanistan"
"187","Phoenix",33.5722,-112.0891,"United States"
"188","Luzhou",28.8918,105.4409,"China"
"189","Taiyuan",37.8733,112.5425,"China"
"190","Zhaoqing",23.05,112.4667,"China"
"191","Xiaoxita",30.7083,111.2803,"China"
"192","Xiamen",24.4797,118.0819,"China"
"193","Fuzhou",27.9814,116.3577,"China"
"194","Liuzhou",24.3264,109.4281,"China"
"195","Zhuzhou",27.8407,113.1469,"China"
"196","Amman",31.95,35.9333,"Jordan"
"197","Jeddah",21.5428,39.1728,"Saudi Arabia"
"198","Chuzhou",32.3062,118.3115,"China"
"199","Loudi",27.7378,111.9974,"China"
"200","Deyang",31.1289,104.395,"China"
"201","Qingyuan",23.6842,113.0507,"China"
"202","Kano",12,8.5167,"Nigeria"
"203","Wuhu",31.334,118.3622,"China"
"204","Seattle",47.6211,-122.3244,"United States"
